aX,aY
24,62
25,61
28,67
37,78
36,79
35,85
38,93
31,101
31,114
50,144
52,164
78,184
93,181
116,185
138,173
172,240
199,216
226,212
249,235
266,249
275,238
285,228
273,214
267,214
246,209
221,207
200,199
181,200
164,198
157,216
147,218
137,232
121,239
109,243
108,252
103,264
93,264
89,260
80,256
80,256
75,253
76,244
66,245
66,232
61,226
59,214
59,203
57,193
47,178
50,170
50,161
48,159
44,139
47,134
45,126
42,116
38,110
42,104
40,98
34,93
32,84
37,86
40,82
32,76
36,75
34,76
36,75
37,74
35,75
29,73
32,74
29,72
34,69
30,68
33,73
32,71
33,72
27,66
27,64
31,68
32,71
30,70
26,61
34,69
34,70
32,69
34,71
30,61
32,58
31,66
27,66
30,67
33,64
33,66
30,66
31,65
32,65
27,64
29,64
28,60
28,67
25,64
30,66
27,61
28,69
27,71
26,63
26,64
32,72
24,66
23,65
28,63
30,67
28,67
29,67
24,65
24,67
29,67
23,60
29,66
25,61
25,61
22,56
34,65
31,66
29,68
31,66
30,64
29,69
21,66
30,74
25,74
20,67
20,72
28,79
25,80
26,76
26,85
19,81
19,83
27,87
25,81
25,81
25,85
24,83
28,83
25,84
23,86
22,88
26,90
23,88
19,82
25,76
20,79
25,91
20,83
17,83
24,85
20,85
23,89
28,85
24,80
22,81
25,83
26,81
25,72
28,77
26,79
21,77
25,83
24,81
24,77
23,79
23,82
25,80
20,75
26,82
27,86
23,85
26,80
20,75
25,80
22,79
28,84
23,78
24,80
24,77
25,79
22,76
26,83
20,72
21,76
25,76
21,83
24,86
26,86
23,87
28,87
19,84
24,96
24,90
18,80
24,85
24,88
25,86
24,80
24,78
24,76
27,78
18,69
26,72
17,65
23,68
24,70
25,67
21,65
27,65
25,65
26,69
18,63
25,67
20,65
23,71
26,72
21,66
23,67
22,64
22,64
25,73
26,69
24,67
17,67
25,71
25,75
20,73
24,73
24,71
23,70
19,66
23,68
25,67
22,63
22,64
25,73
27,73
25,71
22,70
20,63
22,65
19,60
22,64
27,66
23,65
24,70
31,68
27,66
23,63
26,65
27,67
23,63
16,63
27,64
18,55
25,64
25,65
24,60
24,64
23,63
25,64
28,72
22,68
25,68
26,71
25,71
18,66
20,66
23,66
26,69
25,72
20,63
28,71
24,67
25,61
26,66
26,67
24,67
22,64
17,77
20,74
26,77
25,68
22,66
20,64
18,62
20,65
19,61
18,62
22,66
22,67
18,65
25,70
26,70
26,74
22,72
20,67
28,76
27,72
25,72
22,72
27,73
28,74
29,69
26,69
26,70
24,73
21,72
20,60
25,65
22,65
23,65
24,65
24,65
21,63
23,63
23,62
24,64
25,68
24,66
18,60
19,63
26,64
19,57
24,59
17,61
25,67
24,63
23,62
20,57
17,62
24,65
25,63
23,62
24,63
23,58
26,64
23,60
26,62
20,55
25,66
27,67
20,61
27,65
26,63
21,59
26,64
21,62
26,62
25,65
19,58
26,62
20,56
24,64
25,64
25,67
25,67
24,60
20,56
27,63
25,65
24,71
22,65
21,64
25,67
25,70
25,68
20,63
25,63
19,60
25,66
20,64
21,62
24,62
22,66
27,67
25,61
25,60
24,63
24,68
23,66
26,66
24,62
28,67
24,69
24,70
22,68
25,69
26,70
24,72
25,70
25,71
25,68
24,69
27,68
22,67
26,68
24,59
24,65
23,66
24,65
23,61
25,61
26,66
27,66
25,64
24,66
28,65
27,69
22,63
26,67
18,58
19,64
25,63
24,66
24,67
25,68
24,65
26,63
24,63
23,60
23,64
17,54
23,59
24,61
16,58
23,63
21,63
21,62
21,64
24,64
23,62
24,62
25,64
23,72
20,66
19,60
25,61
18,60
20,64
18,65
24,70
23,68
17,60
25,71
24,68
23,65
25,60
26,62
25,60
28,61
17,57
23,59
26,64
24,64
24,65
23,66
18,57
24,64
24,67
24,70
19,68
25,67
25,66
28,63
27,69
19,63
24,62
24,66
24,67
29,73
24,65
23,65
26,64
25,70
24,73
23,68
27,69
22,69
25,71
25,72
28,69
27,64
27,70
24,72
20,65
22,58
18,57
24,69
23,72
25,71
20,64
26,63
24,63
27,65
26,59
27,58
27,62
29,62
28,62
24,58
27,59
28,61
26,60
27,62
25,57
23,56
22,59
26,63
26,65
27,64
25,61
20,65
26,68
28,63
24,57
22,51
23,57
20,57
26,60
26,56
26,56
24,57
24,56
23,57
25,52
25,56
29,56
28,60
27,63
26,62
25,62
27,63
25,65
21,61
19,55
24,63
24,63
26,64
25,64
23,64
24,57
29,66
21,55
26,58
19,53
27,58
19,57
20,54
27,60
18,55
28,56
28,56
22,62
20,60
27,68
20,64
27,75
26,80
25,81
19,79
26,85
23,90
27,93
25,93
20,92
24,98
24,101
18,101
25,105
23,100
23,101
19,98
26,104
26,103
24,101
25,99
27,91
19,94
26,96
23,97
21,89
24,87
17,85
19,78
25,86
26,84
26,78
27,79
26,78
23,74
26,77
24,75
20,69
25,72
21,75
23,73
25,71
19,67
28,75
22,70
19,64
22,68
12,68
25,69
25,74
18,66
24,69
25,71
16,67
24,65
25,64
22,65
25,64
24,65
26,64
24,63
17,60
25,62
19,61
25,66
22,60
24,62
25,64
25,67
20,66
25,67
28,67
26,70
20,61
20,62
26,67
26,68
22,67
24,67
25,62
25,61
18,57
27,66
29,65
27,64
20,56
29,63
22,61
25,73
25,68
22,66
17,59
21,63
24,68
25,62
26,57
27,65
22,60
25,65
21,55
24,65
22,61
26,58
28,58
27,60
25,58
22,53
24,57
26,62
24,58
22,58
26,62
26,63
28,64
26,63
26,64
26,67
25,66
,
23,39
23,48
24,51
16,48
23,55
26,60
24,58
23,60
24,59
24,61
24,59
25,57
23,57
25,59
19,61
22,63
25,60
22,56
25,62
23,57
27,64
22,64
24,64
20,60
22,63
25,71
27,71
24,66
18,61
22,67
17,57
17,55
26,61
27,60
18,54
24,61
28,60
26,60
25,59
23,59
22,61
25,57
24,56
18,51
17,52
23,57
25,56
19,55
26,61
28,60
26,62
30,64
30,60
33,62
33,63
33,71
31,76
61,77
66,90
62,98
58,105
55,119
65,129
88,129
135,149
163,168
197,178
227,184
264,177
314,163
350,147
381,154
417,183
438,161
460,180
461,190
455,193
438,210
413,221
400,236
379,244
360,254
347,266
324,271
307,299
295,313
277,335
269,332
252,324
234,325
226,328
214,334
201,324
199,320
191,312
181,308
168,304
170,291
160,276
148,263
148,258
138,243
136,234
129,225
128,211
123,201
114,182
112,172
110,157
102,152
100,131
99,130
89,119
87,119
85,105
80,102
81,96
78,94
77,88
74,87
62,84
62,77
62,75
61,76
61,76
58,73
55,68
48,65
53,69
49,66
49,77
47,67
46,71
41,72
45,72
39,72
31,68
36,68
41,66
35,70
32,73
36,66
34,63
37,66
37,69
29,64
36,71
35,66
34,69
32,66
35,72
31,67
32,70
28,68
31,75
34,77
25,70
26,64
30,69
31,75
32,72
23,70
23,66
28,66
25,71
24,73
31,74
22,67
28,66
26,70
27,68
24,65
26,64
26,65
24,61
29,71
30,72
21,64
27,72
23,77
27,80
25,75
24,78
27,74
23,71
25,81
24,78
29,85
29,90
22,102
28,103
28,115
27,120
26,117
29,121
25,125
21,125
24,122
28,125
21,110
25,115
25,109
28,108
28,104
22,96
22,93
26,96
21,91
25,98
25,99
26,92
25,92
26,89
21,84
26,83
20,81
19,81
25,87
24,84
23,76
24,77
25,77
24,80
26,81
27,73
27,78
27,76
23,75
27,78
25,81
22,78
22,70
26,73
19,75
27,73
27,75
25,72
20,73
25,74
25,70
22,66
21,67
21,69
19,67
22,66
26,68
25,71
21,71
26,76
25,70
26,68
19,61
27,71
26,68
21,69
19,66
21,64
28,62
27,63
28,69
27,67
27,67
27,68
25,69
26,71
25,65
20,60
25,66
26,68
30,66
24,66
27,67
23,65
27,74
26,73
28,67
24,68
26,64
17,61
25,65
20,65
27,65
26,72
19,68
27,71
31,71
26,72
21,74
24,75
25,73
22,65
25,68
22,69
24,73
22,74
24,70
26,69
26,66
28,64
20,62
24,68
20,61
24,63
21,61
27,65
22,60
24,65
23,64
18,60
21,63
24,64
24,66
24,68
22,70
21,64
26,62
27,61
27,62
24,61
26,63
