aX,aY
20,56
24,64
21,65
20,63
20,59
23,66
23,67
25,63
20,68
25,69
20,63
26,65
24,64
27,68
26,66
23,60
27,64
26,60
26,68
26,67
28,66
27,65
26,64
25,67
28,67
26,65
26,66
26,68
21,64
27,70
27,67
22,59
25,65
29,70
26,69
21,59
25,59
25,64
26,66
25,67
20,59
20,58
19,59
25,65
26,63
25,62
24,62
25,65
24,65
25,68
25,63
25,65
26,63
24,64
26,63
24,61
18,56
23,64
25,67
26,65
25,63
23,67
24,69
26,70
20,63
24,70
24,71
25,72
23,71
24,70
25,70
24,71
21,70
24,69
27,69
24,70
19,73
25,76
22,76
18,71
21,70
18,65
20,67
25,72
25,69
23,70
24,70
24,76
24,76
24,73
25,71
23,68
25,70
24,69
24,68
21,66
20,67
24,72
25,73
24,69
24,69
23,66
23,72
24,71
26,66
20,58
19,64
23,63
25,65
25,64
24,64
20,62
20,64
25,68
24,66
19,60
19,69
24,73
19,68
24,73
24,73
21,74
23,73
24,79
18,76
24,72
24,71
25,74
22,70
23,69
21,67
23,66
24,72
17,65
24,69
24,64
23,68
18,64
17,67
20,65
18,65
20,68
22,74
24,76
17,67
24,70
24,74
16,73
23,74
19,71
19,71
18,67
20,69
22,68
24,70
21,70
23,71
23,73
17,64
24,67
24,66
24,67
22,73
25,71
18,68
24,75
18,71
23,78
24,80
23,79
24,77
24,76
19,73
24,74
22,70
19,66
23,70
23,70
21,74
22,69
23,66
23,68
23,65
24,64
19,64
24,64
22,66
20,64
24,71
24,61
19,64
24,73
23,74
17,69
26,76
22,72
23,73
22,72
23,72
17,65
23,72
24,79
23,76
26,77
23,69
22,72
23,72
22,68
22,71
23,71
24,68
21,65
25,71
20,67
22,66
17,57
14,63
20,69
22,77
26,74
24,69
23,73
23,71
24,72
22,69
22,67
19,66
23,71
25,73
18,64
17,64
23,65
23,68
24,68
24,67
16,61
18,68
23,71
19,66
17,63
23,66
22,72
15,65
23,75
23,72
23,69
19,65
20,70
15,65
23,71
23,64
23,68
23,67
24,66
22,66
20,65
23,65
18,62
24,70
20,67
22,66
21,65
23,65
24,64
23,68
23,67
18,64
21,67
24,65
23,63
23,64
22,66
23,72
23,77
23,73
22,65
22,72
24,70
18,64
17,61
22,70
21,63
23,67
17,63
23,67
22,64
23,65
24,67
18,64
16,57
22,62
22,62
18,61
22,61
22,61
22,60
23,61
22,61
18,57
21,55
18,55
22,62
24,62
25,65
16,57
21,59
14,62
18,59
22,63
20,64
24,66
24,65
19,61
22,66
21,73
20,72
17,68
19,70
18,70
21,65
23,71
20,65
24,73
23,69
17,62
23,71
19,73
16,70
23,69
20,59
22,67
21,69
24,69
22,69
19,66
23,69
22,75
24,73
20,68
22,70
21,68
27,69
16,63
23,67
23,68
18,62
22,68
21,69
18,64
22,65
22,70
21,73
20,73
16,73
24,73
21,68
23,69
21,67
23,66
22,64
23,67
20,66
21,71
24,68
22,66
23,60
17,62
19,69
17,64
20,61
24,65
23,64
22,69
23,62
23,65
16,59
22,70
20,65
17,72
24,69
24,67
19,62
20,60
23,69
16,58
22,65
23,66
23,66
23,65
22,68
23,68
22,72
23,70
23,67
24,66
22,65
23,70
23,69
19,59
22,64
16,60
23,70
18,72
25,69
24,67
22,69
24,72
17,66
19,59
17,58
19,61
22,65
23,67
20,67
19,64
18,67
24,69
21,66
19,60
21,62
23,64
23,66
21,68
22,61
15,56
23,63
18,57
23,66
24,59
22,67
20,70
24,73
20,64
23,64
20,60
25,72
25,76
22,73
24,74
23,75
23,73
26,72
19,63
27,65
22,66
25,71
28,71
25,68
22,61
23,65
24,67
20,63
22,64
22,65
23,64
22,66
24,69
18,57
19,60
24,65
22,65
22,70
19,60
24,66
61,58
57,58
62,62
70,63
88,57
98,59
111,66
141,65
157,63
211,63
272,69
332,68
396,81
436,94
495,101
544,124
582,138
619,165
662,187
696,204
728,224
725,248
773,268
795,281
811,296
821,297
840,308
841,315
834,316
805,308
772,310
718,296
642,269
570,251
480,225
401,191
325,169
248,143
200,130
168,115
155,108
148,93
154,96
162,91
166,88
164,72
171,75
179,81
178,75
185,79
186,75
182,67
189,68
190,65
192,64
186,69
193,68
184,63
187,58
193,65
185,60
190,69
188,69
181,71
184,66
185,65
180,65
169,60
165,62
166,70
166,73
160,69
151,62
146,60
151,63
146,64
138,68
129,69
133,70
129,62
128,66
122,64
115,60
113,61
108,61
103,56
104,60
102,60
99,60
96,63
92,57
92,59
88,61
90,61
84,62
78,63
73,57
71,66
71,64
76,66
65,60
69,66
61,56
68,66
65,65
59,60
60,65
58,62
59,65
59,67
54,65
53,65
48,59
51,66
48,61
44,64
45,62
40,59
46,63
37,59
35,63
42,69
38,61
38,68
40,68
41,71
39,71
38,69
33,67
32,67
32,70
38,72
36,70
28,61
33,67
33,66
26,61
30,67
31,66
24,60
32,66
31,70
30,67
23,64
29,73
30,71
29,63
25,60
29,67
29,66
24,57
28,61
23,57
29,68
26,64
22,60
27,68
30,69
28,69
27,68
25,66
28,69
22,65
23,63
21,60
23,62
24,65
26,67
24,66
22,67
21,60
19,57
17,59
25,66
18,61
25,64
22,61
24,64
23,61
24,65
26,66
25,65
25,68
24,67
17,59
24,64
25,61
24,60
17,57
22,57
18,54
23,62
18,56
24,64
20,57
22,59
23,60
23,65
24,71
23,68
21,64
20,57
22,64
23,62
24,67
22,64
22,68
22,65
14,59
23,63
25,61
25,66
21,65
16,59
21,66
22,65
22,59
23,63
,
41,124
33,141
34,129
33,125
26,114
30,114
31,111
31,109
29,106
30,101
23,93
26,91
21,88
24,89
27,84
25,82
20,76
20,75
25,77
20,74
21,79
26,72
24,73
25,75
27,75
25,70
19,65
24,68
24,69
26,67
17,58
25,63
23,67
25,64
17,58
21,60
23,64
20,63
23,64
19,62
23,68
26,66
13,60
16,57
18,58
22,61
23,66
22,63
21,60
17,54
17,66
19,65
21,65
22,66
23,63
23,65
16,59
22,63
22,65
21,71
24,74
21,70
23,69
21,64
19,62
16,59
21,62
19,57
17,59
22,64
22,68
22,67
23,67
15,62
24,69
22,67
23,65
22,63
22,65
22,59
18,62
19,59
16,53
24,61
24,64
23,62
20,61
23,59
17,54
21,57
22,58
21,55
19,55
22,60
22,62
16,67
23,73
22,69
23,71
20,69
18,64
18,62
23,68
23,68
23,69
24,71
26,68
26,63
28,63
28,64
27,64
28,62
24,53
23,56
22,55
29,62
28,55
26,59
25,54
20,52
27,59
20,51
24,58
18,66
25,73
23,71
24,69
21,66
25,70
25,69
23,62
24,64
23,60
20,56
16,66
19,60
23,62
20,63
24,64
29,69
38,71
44,69
55,80
60,85
67,89
66,88
63,85
58,84
52,84
46,78
44,82
42,71
42,76
38,78
40,80
52,80
52,75
51,70
49,75
48,78
48,76
43,70
49,75
54,84
57,88
72,91
86,92
99,91
127,96
152,100
175,90
206,83
230,82
252,83
268,76
291,79
312,92
328,132
349,174
371,212
396,247
420,276
445,283
466,261
496,230
513,201
535,176
